"","Age","Sex","Geo","Year","Population"
"152","TOTAL","T","LT",2015,2921262
"153","TOTAL","T","LU",2015,562958
"154","TOTAL","T","LV",2015,1986096
"155","TOTAL","T","MC",2015,NA
"156","TOTAL","T","MD",2015,NA
"157","TOTAL","T","ME",2015,622099
"158","TOTAL","T","MK",2015,2069172
"159","TOTAL","T","MT",2015,429344
"160","TOTAL","T","NL",2015,16900726
"161","TOTAL","T","NO",2015,5166493
"162","TOTAL","T","PL",2015,38005614
"163","TOTAL","T","PT",2015,10374822
"164","TOTAL","T","RO",2015,19870647
"165","TOTAL","T","RS",2015,7114393
"166","TOTAL","T","RU",2015,NA
"167","TOTAL","T","SE",2015,9747355
"168","TOTAL","T","SI",2015,2062874
"169","TOTAL","T","SK",2015,5421349
"170","TOTAL","T","SM",2015,NA
"171","TOTAL","T","TR",2015,77695904
"172","TOTAL","T","UA",2015,NA
"173","TOTAL","T","UK",2015,64875165
"174","TOTAL","T","XK",2015,NA
"175","TOTAL","F","AD",2014,NA
"176","TOTAL","F","AL",2014,1435984
"177","TOTAL","F","AM",2014,NA
"178","TOTAL","F","AT",2014,4351253
"179","TOTAL","F","AZ",2014,4763571
"180","TOTAL","F","BA",2014,NA
"181","TOTAL","F","BE",2014,5695923
"182","TOTAL","F","BG",2014,3720732
"183","TOTAL","F","BY",2014,5066943
"184","TOTAL","F","CH",2014,4117540
"185","TOTAL","F","CY",2014,440462
"186","TOTAL","F","CZ",2014,5350039
"187","TOTAL","F","DE",2014,41210540
"188","TOTAL","F","DE_TOT",2014,41210540
"189","TOTAL","F","DK",2014,2834956
"190","TOTAL","F","EA18",2014,171366973
"191","TOTAL","F","EA19",2014,172954450
"192","TOTAL","F","EE",2014,700900
"193","TOTAL","F","EEA30",2014,260089795
"194","TOTAL","F","EEA31",2014,262286856
"195","TOTAL","F","EFTA",2014,6839585
"196","TOTAL","F","EL",2014,5613568
"197","TOTAL","F","ES",2014,23634738
"198","TOTAL","F","EU27",2014,257367750
"199","TOTAL","F","EU28",2014,259564811
"200","TOTAL","F","FI",2014,2770906
"201","TOTAL","F","FR",2014,33970072
"202","TOTAL","F","FX",2014,NA
"203","TOTAL","F","GE",2014,2349126
"204","TOTAL","F","HR",2014,2197061
"205","TOTAL","F","HU",2014,5173974
"206","TOTAL","F","IE",2014,2327276
"207","TOTAL","F","IS",2014,162353
"208","TOTAL","F","IT",2014,31298104
"209","TOTAL","F","LI",2014,18729
"210","TOTAL","F","LT",2014,1587477
"211","TOTAL","F","LU",2014,274563
"212","TOTAL","F","LV",2014,1084423
"213","TOTAL","F","MC",2014,NA
"214","TOTAL","F","MD",2014,1846128
"215","TOTAL","F","ME",2014,314366
"216","TOTAL","F","MK",2014,1030928
"217","TOTAL","F","MT",2014,212960
"218","TOTAL","F","NL",2014,8494904
"219","TOTAL","F","NO",2014,2540963
"220","TOTAL","F","PL",2014,19613892
"221","TOTAL","F","PT",2014,5469281
"222","TOTAL","F","RO",2014,10201259
"223","TOTAL","F","RS",2014,3666896
"224","TOTAL","F","RU",2014,77120043
"225","TOTAL","F","SE",2014,4830507
"226","TOTAL","F","SI",2014,1040211
"227","TOTAL","F","SK",2014,2776889
"228","TOTAL","F","SM",2014,NA
"229","TOTAL","F","TR",2014,38194504
"230","TOTAL","F","UA",2014,24327606
"231","TOTAL","F","UK",2014,32687941
"232","TOTAL","F","XK",2014,NA
"233","TOTAL","M","AD",2014,NA
"234","TOTAL","M","AL",2014,1459963
"235","TOTAL","M","AM",2014,NA
"236","TOTAL","M","AT",2014,4155636
"237","TOTAL","M","AZ",2014,4713548
"238","TOTAL","M","BA",2014,NA
"239","TOTAL","M","BE",2014,5508069
"240","TOTAL","M","BG",2014,3524945
"241","TOTAL","M","BY",2014,4401211
"242","TOTAL","M","CH",2014,4022091
"243","TOTAL","M","CY",2014,417538
"244","TOTAL","M","CZ",2014,5162380
"245","TOTAL","M","DE",2014,39556923
"246","TOTAL","M","DE_TOT",2014,39556923
"247","TOTAL","M","DK",2014,2792279
"248","TOTAL","M","EA18",2014,163162939
"249","TOTAL","M","EA19",2014,164518934
"250","TOTAL","M","EE",2014,614919
"251","TOTAL","M","EEA30",2014,248078241
"252","TOTAL","M","EEA31",2014,250127989
"253","TOTAL","M","EFTA",2014,6770816
"254","TOTAL","M","EL",2014,5313239
"255","TOTAL","M","ES",2014,22877461
"256","TOTAL","M","EU27",2014,245329516
"257","TOTAL","M","EU28",2014,247379264
"258","TOTAL","M","FI",2014,2680364
"259","TOTAL","M","FR",2014,31919076
"260","TOTAL","M","FX",2014,NA
"261","TOTAL","M","GE",2014,2141372
"262","TOTAL","M","HR",2014,2049748
"263","TOTAL","M","HU",2014,4703391
"264","TOTAL","M","IE",2014,2278225
"265","TOTAL","M","IS",2014,163318
"266","TOTAL","M","IT",2014,29484564
"267","TOTAL","M","LI",2014,18400
"268","TOTAL","M","LT",2014,1355995
"269","TOTAL","M","LU",2014,275117
"270","TOTAL","M","LV",2014,917045
"271","TOTAL","M","MC",2014,NA
