"","Age","Sex","Geo","Year","Population"
"2646","TOTAL","F","LT",2000,1867773
"2647","TOTAL","F","LU",2000,219985
"2648","TOTAL","F","LV",2000,1284827
"2649","TOTAL","F","MC",2000,NA
"2650","TOTAL","F","MD",2000,1899612
"2651","TOTAL","F","ME",2000,306100
"2652","TOTAL","F","MK",2000,1010106
"2653","TOTAL","F","MT",2000,191612
"2654","TOTAL","F","NL",2000,8017633
"2655","TOTAL","F","NO",2000,2261357
"2656","TOTAL","F","PL",2000,19715504
"2657","TOTAL","F","PT",2000,5304872
"2658","TOTAL","F","RO",2000,11475444
"2659","TOTAL","F","RS",2000,3865866
"2660","TOTAL","F","RU",2000,78191815
"2661","TOTAL","F","SE",2000,4481308
"2662","TOTAL","F","SI",2000,1016943
"2663","TOTAL","F","SK",2000,2773531
"2664","TOTAL","F","SM",2000,NA
"2665","TOTAL","F","TR",2000,33100471
"2666","TOTAL","F","UA",2000,26360288
"2667","TOTAL","F","UK",2000,30150784
"2668","TOTAL","F","XK",2000,NA
"2669","TOTAL","M","AD",2000,34433
"2670","TOTAL","M","AL",2000,1531735
"2671","TOTAL","M","AM",2000,1545700
"2672","TOTAL","M","AT",2000,3868331
"2673","TOTAL","M","AZ",2000,3918300
"2674","TOTAL","M","BA",2000,1839012
"2675","TOTAL","M","BE",2000,5006014
"2676","TOTAL","M","BG",2000,3991161
"2677","TOTAL","M","BY",2000,4703212
"2678","TOTAL","M","CH",2000,3500708
"2679","TOTAL","M","CY",2000,339655
"2680","TOTAL","M","CZ",2000,5001062
"2681","TOTAL","M","DE",2000,40090776
"2682","TOTAL","M","DE_TOT",2000,40090776
"2683","TOTAL","M","DK",2000,2634122
"2684","TOTAL","M","EA18",2000,154098172
"2685","TOTAL","M","EA19",2000,155742473
"2686","TOTAL","M","EE",2000,653080
"2687","TOTAL","M","EEA30",2000,237149013
"2688","TOTAL","M","EEA31",2000,239312091
"2689","TOTAL","M","EFTA",2000,5873289
"2690","TOTAL","M","EL",2000,5301521
"2691","TOTAL","M","ES",2000,19606767
"2692","TOTAL","M","EU27",2000,234776432
"2693","TOTAL","M","EU28",2000,236939510
"2694","TOTAL","M","FI",2000,2523026
"2695","TOTAL","M","FR",2000,29383653
"2696","TOTAL","M","FX",2000,28566924
"2697","TOTAL","M","GE",2000,2092800
"2698","TOTAL","M","HR",2000,2163078
"2699","TOTAL","M","HU",2000,4865194
"2700","TOTAL","M","IE",2000,1876864
"2701","TOTAL","M","IS",2000,139665
"2702","TOTAL","M","IT",2000,27562988
"2703","TOTAL","M","LI",2000,15776
"2704","TOTAL","M","LT",2000,1644301
"2705","TOTAL","M","LU",2000,213615
"2706","TOTAL","M","LV",2000,1096888
"2707","TOTAL","M","MC",2000,NA
"2708","TOTAL","M","MD",2000,1744458
"2709","TOTAL","M","ME",2000,297052
"2710","TOTAL","M","MK",2000,1011472
"2711","TOTAL","M","MT",2000,188589
"2712","TOTAL","M","NL",2000,7846317
"2713","TOTAL","M","NO",2000,2217140
"2714","TOTAL","M","PL",2000,18547799
"2715","TOTAL","M","PT",2000,4944150
"2716","TOTAL","M","RO",2000,10980041
"2717","TOTAL","M","RS",2000,3662086
"2718","TOTAL","M","RU",2000,68698313
"2719","TOTAL","M","SE",2000,4380118
"2720","TOTAL","M","SI",2000,970812
"2721","TOTAL","M","SK",2000,2625126
"2722","TOTAL","M","SM",2000,NA
"2723","TOTAL","M","TR",2000,33788954
"2724","TOTAL","M","UA",2000,22754662
"2725","TOTAL","M","UK",2000,28634462
"2726","TOTAL","M","XK",2000,NA
"2727","TOTAL","T","AD",2000,65971
"2728","TOTAL","T","AL",2000,3058497
"2729","TOTAL","T","AM",2000,3226900
"2730","TOTAL","T","AT",2000,8002186
"2731","TOTAL","T","AZ",2000,8016200
"2732","TOTAL","T","BA",2000,3753085
"2733","TOTAL","T","BE",2000,10239085
"2734","TOTAL","T","BG",2000,8190876
"2735","TOTAL","T","BY",2000,10019480
"2736","TOTAL","T","CH",2000,7164444
"2737","TOTAL","T","CY",2000,690497
"2738","TOTAL","T","CZ",2000,10278098
"2739","TOTAL","T","DE",2000,82163475
"2740","TOTAL","T","DE_TOT",2000,82163475
"2741","TOTAL","T","DK",2000,5330020
"2742","TOTAL","T","EA18",2000,316434141
"2743","TOTAL","T","EA19",2000,319946215
"2744","TOTAL","T","EE",2000,1401250
"2745","TOTAL","T","EEA30",2000,487122285
"2746","TOTAL","T","EEA31",2000,491620020
"2747","TOTAL","T","EFTA",2000,11954416
"2748","TOTAL","T","EL",2000,10775627
"2749","TOTAL","T","ES",2000,40049708
"2750","TOTAL","T","EU27",2000,482332313
"2751","TOTAL","T","EU28",2000,486830048
"2752","TOTAL","T","FI",2000,5171302
"2753","TOTAL","T","FR",2000,60545022
"2754","TOTAL","T","FX",2000,58858198
"2755","TOTAL","T","GE",2000,4435200
"2756","TOTAL","T","HR",2000,4497735
"2757","TOTAL","T","HU",2000,10221644
"2758","TOTAL","T","IE",2000,3777565
"2759","TOTAL","T","IS",2000,279049
"2760","TOTAL","T","IT",2000,56923524
"2761","TOTAL","T","LI",2000,32426
"2762","TOTAL","T","LT",2000,3512074
"2763","TOTAL","T","LU",2000,433600
"2764","TOTAL","T","LV",2000,2381715
"2765","TOTAL","T","MC",2000,NA
"2766","TOTAL","T","MD",2000,3644070
"2767","TOTAL","T","ME",2000,603152
"2768","TOTAL","T","MK",2000,2021578
"2769","TOTAL","T","MT",2000,380201
"2770","TOTAL","T","NL",2000,15863950
"2771","TOTAL","T","NO",2000,4478497
"2772","TOTAL","T","PL",2000,38263303
"2773","TOTAL","T","PT",2000,10249022
"2774","TOTAL","T","RO",2000,22455485
"2775","TOTAL","T","RS",2000,7527952
"2776","TOTAL","T","RU",2000,146890128
"2777","TOTAL","T","SE",2000,8861426
"2778","TOTAL","T","SI",2000,1987755
"2779","TOTAL","T","SK",2000,5398657
"2780","TOTAL","T","SM",2000,NA
"2781","TOTAL","T","TR",2000,66889425
"2782","TOTAL","T","UA",2000,49114950
"2783","TOTAL","T","UK",2000,58785246
"2784","TOTAL","T","XK",2000,NA
"2785","TOTAL","F","AD",1999,31384
"2786","TOTAL","F","AL",1999,NA
"2787","TOTAL","F","AM",1999,NA
"2788","TOTAL","F","AT",1999,4126432
"2789","TOTAL","F","AZ",1999,NA
"2790","TOTAL","F","BA",1999,NA
"2791","TOTAL","F","BE",1999,5220034
"2792","TOTAL","F","BG",1999,4216300
"2793","TOTAL","F","BY",1999,NA
"2794","TOTAL","F","CH",1999,3644848
"2795","TOTAL","F","CY",1999,346537
"2796","TOTAL","F","CZ",1999,5284186
"2797","TOTAL","F","DE",1999,42032869
"2798","TOTAL","F","DE_TOT",1999,42032869
"2799","TOTAL","F","DK",1999,2688156
"2800","TOTAL","F","EA18",1999,161781919
"2801","TOTAL","F","EA19",1999,163660759
"2802","TOTAL","F","EE",1999,742978
"2803","TOTAL","F","EEA30",1999,249514313
"2804","TOTAL","F","EEA31",1999,251865963
"2805","TOTAL","F","EFTA",1999,6044631
"2806","TOTAL","F","EL",1999,5457870
"2807","TOTAL","F","ES",1999,20315766
"2808","TOTAL","F","EU27",1999,247114530
"2809","TOTAL","F","EU28",1999,249466180
"2810","TOTAL","F","FI",1999,2643571
"2811","TOTAL","F","FR",1999,30944296
"2812","TOTAL","F","FX",1999,30090468
"2813","TOTAL","F","GE",1999,NA
"2814","TOTAL","F","HR",1999,2351650
"2815","TOTAL","F","HU",1999,5369020
"2816","TOTAL","F","IE",1999,1878331
"2817","TOTAL","F","IS",1999,137626
"2818","TOTAL","F","IT",1999,29345361
"2819","TOTAL","F","LI",1999,16387
"2820","TOTAL","F","LT",1999,1878840
"2821","TOTAL","F","LU",1999,217009
"2822","TOTAL","F","LV",1999,1293810
"2823","TOTAL","F","MC",1999,NA
"2824","TOTAL","F","MD",1999,NA
"2825","TOTAL","F","ME",1999,NA
"2826","TOTAL","F","MK",1999,1005439
"2827","TOTAL","F","MT",1999,190829
"2828","TOTAL","F","NL",1999,7966954
"2829","TOTAL","F","NO",1999,2245770
"2830","TOTAL","F","PL",1999,19868726
"2831","TOTAL","F","PT",1999,5274465
"2832","TOTAL","F","RO",1999,11487412
"2833","TOTAL","F","RS",1999,3876555
"2834","TOTAL","F","RU",1999,NA
"2835","TOTAL","F","SE",1999,4478703
"2836","TOTAL","F","SI",1999,1015117
"2837","TOTAL","F","SK",1999,2769690
"2838","TOTAL","F","SM",1999,NA
"2839","TOTAL","F","TR",1999,32547564
"2840","TOTAL","F","UA",1999,NA
"2841","TOTAL","F","UK",1999,30061268
"2842","TOTAL","F","XK",1999,NA
"2843","TOTAL","M","AD",1999,34493
"2844","TOTAL","M","AL",1999,NA
"2845","TOTAL","M","AM",1999,NA
"2846","TOTAL","M","AT",1999,3856029
"2847","TOTAL","M","AZ",1999,NA
"2848","TOTAL","M","BA",1999,NA
"2849","TOTAL","M","BE",1999,4993718
"2850","TOTAL","M","BG",1999,4014071
"2851","TOTAL","M","BY",1999,NA
"2852","TOTAL","M","CH",1999,3478689
"2853","TOTAL","M","CY",1999,336325
"2854","TOTAL","M","CZ",1999,5005435
"2855","TOTAL","M","DE",1999,40004142
"2856","TOTAL","M","DE_TOT",1999,40004142
"2857","TOTAL","M","DK",1999,2625421
"2858","TOTAL","M","EA18",1999,153546984
"2859","TOTAL","M","EA19",1999,155204545
"2860","TOTAL","M","EE",1999,636259
"2861","TOTAL","M","EEA30",1999,236780617
"2862","TOTAL","M","EEA31",1999,238956427
"2863","TOTAL","M","EFTA",1999,5831962
"2864","TOTAL","M","EL",1999,5289898
"2865","TOTAL","M","ES",1999,19487061
"2866","TOTAL","M","EU27",1999,234427344
"2867","TOTAL","M","EU28",1999,236603154
"2868","TOTAL","M","FI",1999,2516075
"2869","TOTAL","M","FR",1999,29214237
"2870","TOTAL","M","FX",1999,28406145
"2871","TOTAL","M","GE",1999,NA
"2872","TOTAL","M","HR",1999,2175810
"2873","TOTAL","M","HU",1999,4884396
"2874","TOTAL","M","IE",1999,1853675
"2875","TOTAL","M","IS",1999,138086
"2876","TOTAL","M","IT",1999,27563748
"2877","TOTAL","M","LI",1999,15628
"2878","TOTAL","M","LT",1999,1657561
"2879","TOTAL","M","LU",1999,210341
"2880","TOTAL","M","LV",1999,1105438
"2881","TOTAL","M","MC",1999,NA
"2882","TOTAL","M","MD",1999,NA
"2883","TOTAL","M","ME",1999,NA
"2884","TOTAL","M","MK",1999,1007266
"2885","TOTAL","M","MT",1999,187689
"2886","TOTAL","M","NL",1999,7793271
"2887","TOTAL","M","NO",1999,2199559
"2888","TOTAL","M","PL",1999,18798257
"2889","TOTAL","M","PT",1999,4912169
"2890","TOTAL","M","RO",1999,11001183
"2891","TOTAL","M","RS",1999,3676295
"2892","TOTAL","M","RU",1999,NA
"2893","TOTAL","M","SE",1999,4375619
"2894","TOTAL","M","SI",1999,963217
"2895","TOTAL","M","SK",1999,2623692
"2896","TOTAL","M","SM",1999,NA
"2897","TOTAL","M","TR",1999,33238999
"2898","TOTAL","M","UA",1999,NA
"2899","TOTAL","M","UK",1999,28518417
"2900","TOTAL","M","XK",1999,NA
"2901","TOTAL","T","AD",1999,65877
"2902","TOTAL","T","AL",1999,3373445
"2903","TOTAL","T","AM",1999,NA
"2904","TOTAL","T","AT",1999,7982461
"2905","TOTAL","T","AZ",1999,NA
"2906","TOTAL","T","BA",1999,NA
"2907","TOTAL","T","BE",1999,10213752
"2908","TOTAL","T","BG",1999,8230371
"2909","TOTAL","T","BY",1999,NA
"2910","TOTAL","T","CH",1999,7123537
"2911","TOTAL","T","CY",1999,682862
"2912","TOTAL","T","CZ",1999,10289621
"2913","TOTAL","T","DE",1999,82037011
"2914","TOTAL","T","DE_TOT",1999,82037011
"2915","TOTAL","T","DK",1999,5313577
"2916","TOTAL","T","EA18",1999,315328903
"2917","TOTAL","T","EA19",1999,318865304
"2918","TOTAL","T","EE",1999,1379237
"2919","TOTAL","T","EEA30",1999,486294930
"2920","TOTAL","T","EEA31",1999,490822389
"2921","TOTAL","T","EFTA",1999,11876593
"2922","TOTAL","T","EL",1999,10747768
"2923","TOTAL","T","ES",1999,39802827
"2924","TOTAL","T","EU27",1999,481541874
"2925","TOTAL","T","EU28",1999,486069333
"2926","TOTAL","T","FI",1999,5159646
"2927","TOTAL","T","FR",1999,60158533
"2928","TOTAL","T","FX",1999,58496613
"2929","TOTAL","T","GE",1999,NA
"2930","TOTAL","T","HR",1999,4527459
"2931","TOTAL","T","HU",1999,10253416
"2932","TOTAL","T","IE",1999,3732006
"2933","TOTAL","T","IS",1999,275712
"2934","TOTAL","T","IT",1999,56909109
"2935","TOTAL","T","LI",1999,32015
"2936","TOTAL","T","LT",1999,3536401
"2937","TOTAL","T","LU",1999,427350
"2938","TOTAL","T","LV",1999,2399248
"2939","TOTAL","T","MC",1999,NA
"2940","TOTAL","T","MD",1999,NA
"2941","TOTAL","T","ME",1999,NA
"2942","TOTAL","T","MK",1999,2012705
"2943","TOTAL","T","MT",1999,378518
"2944","TOTAL","T","NL",1999,15760225
"2945","TOTAL","T","NO",1999,4445329
"2946","TOTAL","T","PL",1999,38666983
"2947","TOTAL","T","PT",1999,10186634
"2948","TOTAL","T","RO",1999,22488595
"2949","TOTAL","T","RS",1999,7552850
"2950","TOTAL","T","RU",1999,NA
"2951","TOTAL","T","SE",1999,8854322
"2952","TOTAL","T","SI",1999,1978334
"2953","TOTAL","T","SK",1999,5393382
"2954","TOTAL","T","SM",1999,NA
"2955","TOTAL","T","TR",1999,65786563
"2956","TOTAL","T","UA",1999,NA
"2957","TOTAL","T","UK",1999,58579685
"2958","TOTAL","T","XK",1999,NA
"2959","TOTAL","F","AD",1998,31025
"2960","TOTAL","F","AL",1998,NA
"2961","TOTAL","F","AM",1998,NA
"2962","TOTAL","F","AT",1998,4122811
"2963","TOTAL","F","AZ",1998,NA
"2964","TOTAL","F","BA",1998,NA
"2965","TOTAL","F","BE",1998,5209592
"2966","TOTAL","F","BG",1998,4238235
"2967","TOTAL","F","BY",1998,NA
"2968","TOTAL","F","CH",1998,3631222
"2969","TOTAL","F","CY",1998,342190
"2970","TOTAL","F","CZ",1998,5290395
"2971","TOTAL","F","DE",1998,42065068
"2972","TOTAL","F","DE_TOT",1998,42065068
"2973","TOTAL","F","DK",1998,2679191
"2974","TOTAL","F","EA18",1998,161457690
"2975","TOTAL","F","EA19",1998,163348297
"2976","TOTAL","F","EE",1998,750075
"2977","TOTAL","F","EEA30",1998,249132061
"2978","TOTAL","F","EEA31",1998,251488570
"2979","TOTAL","F","EFTA",1998,6015765
"2980","TOTAL","F","EL",1998,5429540
"2981","TOTAL","F","ES",1998,20230823
"2982","TOTAL","F","EU27",1998,246747518
"2983","TOTAL","F","EU28",1998,249104027
"2984","TOTAL","F","FI",1998,2638251
"2985","TOTAL","F","FR",1998,30822400
"2986","TOTAL","F","FX",1998,29982781
"2987","TOTAL","F","GE",1998,NA
"2988","TOTAL","F","HR",1998,2356509
"2989","TOTAL","F","HU",1998,5377960
"2990","TOTAL","F","IE",1998,1859395
"2991","TOTAL","F","IS",1998,135937
"2992","TOTAL","F","IT",1998,29332801
"2993","TOTAL","F","LI",1998,16113
"2994","TOTAL","F","LT",1998,1890607
"2995","TOTAL","F","LU",1998,214687
"2996","TOTAL","F","LV",1998,1305306
"2997","TOTAL","F","MC",1998,NA
"2998","TOTAL","F","MD",1998,NA
"2999","TOTAL","F","ME",1998,NA
"3000","TOTAL","F","MK",1998,1000065
"3001","TOTAL","F","MT",1998,189849
"3002","TOTAL","F","NL",1998,7914118
"3003","TOTAL","F","NO",1998,2232493
"3004","TOTAL","F","PL",1998,19858815
"3005","TOTAL","F","PT",1998,5248376
"3006","TOTAL","F","RO",1998,11499014
"3007","TOTAL","F","RS",1998,NA
"3008","TOTAL","F","RU",1998,NA
"3009","TOTAL","F","SE",1998,4475712
"3010","TOTAL","F","SI",1998,1016763
"3011","TOTAL","F","SK",1998,2765645
"3012","TOTAL","F","SM",1998,NA
"3013","TOTAL","F","TR",1998,31971594
"3014","TOTAL","F","UA",1998,NA
"3015","TOTAL","F","UK",1998,29979899
"3016","TOTAL","F","XK",1998,NA
"3017","TOTAL","M","AD",1998,34281
"3018","TOTAL","M","AL",1998,NA
"3019","TOTAL","M","AM",1998,NA
"3020","TOTAL","M","AT",1998,3848305
"3021","TOTAL","M","AZ",1998,NA
"3022","TOTAL","M","BA",1998,NA
"3023","TOTAL","M","BE",1998,4982672
"3024","TOTAL","M","BG",1998,4044965
"3025","TOTAL","M","BY",1998,NA
"3026","TOTAL","M","CH",1998,3465243
"3027","TOTAL","M","CY",1998,333025
"3028","TOTAL","M","CZ",1998,5008730
"3029","TOTAL","M","DE",1998,39992311
"3030","TOTAL","M","DE_TOT",1998,39992311
"3031","TOTAL","M","DK",1998,2615669
"3032","TOTAL","M","EA18",1998,153223869
"3033","TOTAL","M","EA19",1998,154895523
"3034","TOTAL","M","EE",1998,642999
"3035","TOTAL","M","EEA30",1998,236418261
"3036","TOTAL","M","EEA31",1998,238598564
"3037","TOTAL","M","EFTA",1998,5802000
"3038","TOTAL","M","EL",1998,5263710
"3039","TOTAL","M","ES",1998,19408565
"3040","TOTAL","M","EU27",1998,234081504
"3041","TOTAL","M","EU28",1998,236261807
"3042","TOTAL","M","FI",1998,2509098
"3043","TOTAL","M","FR",1998,29112484
"3044","TOTAL","M","FX",1998,28316181
"3045","TOTAL","M","GE",1998,NA
"3046","TOTAL","M","HR",1998,2180303
"3047","TOTAL","M","HU",1998,4901764
"3048","TOTAL","M","IE",1998,1833991
"3049","TOTAL","M","IS",1998,136444
"3050","TOTAL","M","IT",1998,27571578
"3051","TOTAL","M","LI",1998,15207
"3052","TOTAL","M","LT",1998,1671654
"3053","TOTAL","M","LU",1998,207363
"3054","TOTAL","M","LV",1998,1115483
"3055","TOTAL","M","MC",1998,NA
"3056","TOTAL","M","MD",1998,NA
"3057","TOTAL","M","ME",1998,NA
"3058","TOTAL","M","MK",1998,1002275
"3059","TOTAL","M","MT",1998,186664
"3060","TOTAL","M","NL",1998,7740074
"3061","TOTAL","M","NO",1998,2185106
"3062","TOTAL","M","PL",1998,18801164
"3063","TOTAL","M","PT",1998,4885382
"3064","TOTAL","M","RO",1998,11027079
"3065","TOTAL","M","RS",1998,NA
"3066","TOTAL","M","RU",1998,NA
"3067","TOTAL","M","SE",1998,4371913
"3068","TOTAL","M","SI",1998,968160
"3069","TOTAL","M","SK",1998,2622005
"3070","TOTAL","M","SM",1998,NA
"3071","TOTAL","M","TR",1998,32670081
"3072","TOTAL","M","UA",1998,NA
"3073","TOTAL","M","UK",1998,28414697
"3074","TOTAL","M","XK",1998,NA
"3075","TOTAL","T","AD",1998,65306
"3076","TOTAL","T","AL",1998,3354341
"3077","TOTAL","T","AM",1998,NA
"3078","TOTAL","T","AT",1998,7971116
"3079","TOTAL","T","AZ",1998,NA
"3080","TOTAL","T","BA",1998,3549736
"3081","TOTAL","T","BE",1998,10192264
"3082","TOTAL","T","BG",1998,8283200
"3083","TOTAL","T","BY",1998,NA
"3084","TOTAL","T","CH",1998,7096465
"3085","TOTAL","T","CY",1998,675215
"3086","TOTAL","T","CZ",1998,10299125
"3087","TOTAL","T","DE",1998,82057379
"3088","TOTAL","T","DE_TOT",1998,82057379
"3089","TOTAL","T","DK",1998,5294860
"3090","TOTAL","T","EA18",1998,314681559
"3091","TOTAL","T","EA19",1998,318243820
"3092","TOTAL","T","EE",1998,1393074
"3093","TOTAL","T","EEA30",1998,485550322
"3094","TOTAL","T","EEA31",1998,490087134
"3095","TOTAL","T","EFTA",1998,11817765
"3096","TOTAL","T","EL",1998,10693250
"3097","TOTAL","T","ES",1998,39639388
"3098","TOTAL","T","EU27",1998,480829022
"3099","TOTAL","T","EU28",1998,485365834
"3100","TOTAL","T","FI",1998,5147349
"3101","TOTAL","T","FR",1998,59934884
"3102","TOTAL","T","FX",1998,58298962
"3103","TOTAL","T","GE",1998,NA
"3104","TOTAL","T","HR",1998,4536812
"3105","TOTAL","T","HU",1998,10279724
"3106","TOTAL","T","IE",1998,3693386
"3107","TOTAL","T","IS",1998,272381
"3108","TOTAL","T","IT",1998,56904379
"3109","TOTAL","T","LI",1998,31320
"3110","TOTAL","T","LT",1998,3562261
"3111","TOTAL","T","LU",1998,422050
"3112","TOTAL","T","LV",1998,2420789
"3113","TOTAL","T","MC",1998,NA
"3114","TOTAL","T","MD",1998,NA
"3115","TOTAL","T","ME",1998,NA
"3116","TOTAL","T","MK",1998,2002340
"3117","TOTAL","T","MT",1998,376513
"3118","TOTAL","T","NL",1998,15654192
"3119","TOTAL","T","NO",1998,4417599
"3120","TOTAL","T","PL",1998,38659979
"3121","TOTAL","T","PT",1998,10133758
"3122","TOTAL","T","RO",1998,22526093
"3123","TOTAL","T","RS",1998,NA
"3124","TOTAL","T","RU",1998,NA
"3125","TOTAL","T","SE",1998,8847625
"3126","TOTAL","T","SI",1998,1984923
"3127","TOTAL","T","SK",1998,5387650
"3128","TOTAL","T","SM",1998,NA
"3129","TOTAL","T","TR",1998,64641675
"3130","TOTAL","T","UA",1998,NA
"3131","TOTAL","T","UK",1998,58394596
"3132","TOTAL","T","XK",1998,NA
"3133","TOTAL","F","AD",1997,30627
"3134","TOTAL","F","AL",1997,NA
"3135","TOTAL","F","AM",1997,NA
"3136","TOTAL","F","AT",1997,4120947
"3137","TOTAL","F","AZ",1997,NA
"3138","TOTAL","F","BA",1997,1922585
"3139","TOTAL","F","BE",1997,5198446
"3140","TOTAL","F","BG",1997,4263435
"3141","TOTAL","F","BY",1997,NA
"3142","TOTAL","F","CH",1997,3623725
"3143","TOTAL","F","CY",1997,337118
"3144","TOTAL","F","CZ",1997,5297052
"3145","TOTAL","F","DE",1997,42057327
"3146","TOTAL","F","DE_TOT",1997,42057327
"3147","TOTAL","F","DK",1997,2670184
"3148","TOTAL","F","EA18",1997,160291798
"3149","TOTAL","F","EA19",1997,162193970
"3150","TOTAL","F","EE",1997,756506
"3151","TOTAL","F","EEA30",1997,247927663
"3152","TOTAL","F","EEA31",1997,250282206
"3153","TOTAL","F","EFTA",1997,5994903
"3154","TOTAL","F","EL",1997,5397100
"3155","TOTAL","F","ES",1997,20170774
"3156","TOTAL","F","EU27",1997,245556485
"3157","TOTAL","F","EU28",1997,247911028
"3158","TOTAL","F","FI",1997,2631724
"3159","TOTAL","F","FR",1997,30705968
"3160","TOTAL","F","FX",1997,29880271
"3161","TOTAL","F","GE",1997,NA
"3162","TOTAL","F","HR",1997,2354543
"3163","TOTAL","F","HU",1997,5385291
"3164","TOTAL","F","IE",1997,1840254
"3165","TOTAL","F","IS",1997,134641
"3166","TOTAL","F","IT",1997,29309590
"3167","TOTAL","F","LI",1997,15967
"3168","TOTAL","F","LT",1997,1902172
"3169","TOTAL","F","LU",1997,212161
"3170","TOTAL","F","LV",1997,1318111
"3171","TOTAL","F","MC",1997,NA
"3172","TOTAL","F","MD",1997,NA
"3173","TOTAL","F","ME",1997,NA
"3174","TOTAL","F","MK",1997,994484
"3175","TOTAL","F","MT",1997,188639
"3176","TOTAL","F","NL",1997,7870304
"3177","TOTAL","F","NO",1997,2220570
"3178","TOTAL","F","PL",1997,19842642
"3179","TOTAL","F","PT",1997,5223673
"3180","TOTAL","F","RO",1997,11518907
"3181","TOTAL","F","RS",1997,NA
"3182","TOTAL","F","RU",1997,NA
"3183","TOTAL","F","SE",1997,4474782
"3184","TOTAL","F","SI",1997,1018355
"3185","TOTAL","F","SK",1997,2760498
"3186","TOTAL","F","SM",1997,NA
"3187","TOTAL","F","TR",1997,31390590
"3188","TOTAL","F","UA",1997,NA
"3189","TOTAL","F","UK",1997,29910222
"3190","TOTAL","F","XK",1997,NA
"3191","TOTAL","M","AD",1997,33852
"3192","TOTAL","M","AL",1997,NA
"3193","TOTAL","M","AM",1997,NA
"3194","TOTAL","M","AT",1997,3844019
"3195","TOTAL","M","AZ",1997,NA
"3196","TOTAL","M","BA",1997,1804854
"3197","TOTAL","M","BE",1997,4971780
"3198","TOTAL","M","BG",1997,4077501
"3199","TOTAL","M","BY",1997,NA
"3200","TOTAL","M","CH",1997,3457621
"3201","TOTAL","M","CY",1997,329195
"3202","TOTAL","M","CZ",1997,5012085
"3203","TOTAL","M","DE",1997,39954835
"3204","TOTAL","M","DE_TOT",1997,39954835
"3205","TOTAL","M","DK",1997,2604937
"3206","TOTAL","M","EA18",1997,152115171
"3207","TOTAL","M","EA19",1997,153801012
"3208","TOTAL","M","EE",1997,649490
"3209","TOTAL","M","EEA30",1997,235292505
"3210","TOTAL","M","EEA31",1997,237470990
"3211","TOTAL","M","EFTA",1997,5780174
"3212","TOTAL","M","EL",1997,5232167
"3213","TOTAL","M","ES",1997,19354664
"3214","TOTAL","M","EU27",1997,232969952
"3215","TOTAL","M","EU28",1997,235148437
"3216","TOTAL","M","FI",1997,2500596
"3217","TOTAL","M","FR",1997,29020418
"3218","TOTAL","M","FX",1997,28235747
"3219","TOTAL","M","GE",1997,NA
"3220","TOTAL","M","HR",1997,2178485
"3221","TOTAL","M","HU",1997,4915956
"3222","TOTAL","M","IE",1997,1814701
"3223","TOTAL","M","IS",1997,135233
"3224","TOTAL","M","IT",1997,27566774
"3225","TOTAL","M","LI",1997,15176
"3226","TOTAL","M","LT",1997,1685841
"3227","TOTAL","M","LU",1997,204689
"3228","TOTAL","M","LV",1997,1126801
"3229","TOTAL","M","MC",1997,NA
"3230","TOTAL","M","MD",1997,NA
"3231","TOTAL","M","ME",1997,NA
"3232","TOTAL","M","MK",1997,996914
"3233","TOTAL","M","MT",1997,185319
"3234","TOTAL","M","NL",1997,7696803
"3235","TOTAL","M","NO",1997,2172144
"3236","TOTAL","M","PL",1997,18796699
"3237","TOTAL","M","PT",1997,4860523
"3238","TOTAL","M","RO",1997,11062955
"3239","TOTAL","M","RS",1997,NA
"3240","TOTAL","M","RU",1997,NA
"3241","TOTAL","M","SE",1997,4369717
"3242","TOTAL","M","SI",1997,968634
"3243","TOTAL","M","SK",1997,2618434
"3244","TOTAL","M","SM",1997,NA
"3245","TOTAL","M","TR",1997,32094071
"3246","TOTAL","M","UA",1997,NA
"3247","TOTAL","M","UK",1997,28329090
"3248","TOTAL","M","XK",1997,NA
"3249","TOTAL","T","AD",1997,64479
"3250","TOTAL","T","AL",1997,3324317
"3251","TOTAL","T","AM",1997,NA
"3252","TOTAL","T","AT",1997,7964966
"3253","TOTAL","T","AZ",1997,NA
"3254","TOTAL","T","BA",1997,3727439
"3255","TOTAL","T","BE",1997,10170226
"3256","TOTAL","T","BG",1997,8340936
"3257","TOTAL","T","BY",1997,NA
"3258","TOTAL","T","CH",1997,7081346
"3259","TOTAL","T","CY",1997,666313
"3260","TOTAL","T","CZ",1997,10309137
"3261","TOTAL","T","DE",1997,82012162
"3262","TOTAL","T","DE_TOT",1997,82012162
"3263","TOTAL","T","DK",1997,5275121
"3264","TOTAL","T","EA18",1997,312406969
"3265","TOTAL","T","EA19",1997,315994982
"3266","TOTAL","T","EE",1997,1405996
"3267","TOTAL","T","EEA30",1997,483220168
"3268","TOTAL","T","EEA31",1997,487753196
"3269","TOTAL","T","EFTA",1997,11775077
"3270","TOTAL","T","EL",1997,10629267
"3271","TOTAL","T","ES",1997,39525438
"3272","TOTAL","T","EU27",1997,478526437
"3273","TOTAL","T","EU28",1997,483059465
"3274","TOTAL","T","FI",1997,5132320
"3275","TOTAL","T","FR",1997,59726386
"3276","TOTAL","T","FX",1997,58116018
"3277","TOTAL","T","GE",1997,NA
"3278","TOTAL","T","HR",1997,4533028
"3279","TOTAL","T","HU",1997,10301247
"3280","TOTAL","T","IE",1997,3654955
"3281","TOTAL","T","IS",1997,269874
