Age;Year;Fertility_Rate
33;2008;0,11463
33;2009;0,11744
33;2010;0,12022
33;2011;0,11617
33;2012;0,11432
33;2013;0,11031
33;2014;0,11288
34;2000;0,08313
34;2001;0,08273
34;2002;0,08289
34;2003;0,08502
34;2004;0,09049
34;2005;0,09079
34;2006;0,09666
34;2007;0,09594
34;2008;0,10258
34;2009;0,10662
34;2010;0,10294
34;2011;0,10146
34;2012;0,10278
34;2013;0,10059
34;2014;0,09837
35;2000;0,06844
35;2001;0,06987
35;2002;0,06980
35;2003;0,07247
35;2004;0,07615
35;2005;0,07375
35;2006;0,07852
35;2007;0,08553
35;2008;0,08620
35;2009;0,08921
35;2010;0,08762
35;2011;0,08869
35;2012;0,08759
35;2013;0,08315
35;2014;0,08684
36;2000;0,05509
36;2001;0,05627
36;2002;0,05240
36;2003;0,06019
36;2004;0,06033
36;2005;0,06110
36;2006;0,06509
36;2007;0,06659
36;2008;0,06950
36;2009;0,07072
36;2010;0,06996
36;2011;0,07222
36;2012;0,07093
36;2013;0,06885
36;2014;0,07021
37;2000;0,04579
37;2001;0,04377
37;2002;0,04143
37;2003;0,04537
37;2004;0,04522
37;2005;0,04642
37;2006;0,05159
37;2007;0,05013
37;2008;0,05351
37;2009;0,05790
37;2010;0,05776
37;2011;0,05772
37;2012;0,05838
37;2013;0,05536
37;2014;0,05951
38;2000;0,03240
38;2001;0,03221
38;2002;0,03185
38;2003;0,03493
38;2004;0,03605
38;2005;0,03507
38;2006;0,03752
38;2007;0,04036
38;2008;0,04144
38;2009;0,04396
38;2010;0,04306
38;2011;0,04232
38;2012;0,04470
38;2013;0,04536
38;2014;0,04311
39;2000;0,02473
39;2001;0,02396
39;2002;0,02322
39;2003;0,02318
39;2004;0,02618
39;2005;0,02589
39;2006;0,02689
39;2007;0,02859
39;2008;0,03130
39;2009;0,03164
39;2010;0,03255
39;2011;0,03176
39;2012;0,03375
39;2013;0,03417
39;2014;0,03383
40;2000;0,01541
40;2001;0,01491
40;2002;0,01561
40;2003;0,01639
40;2004;0,01696
40;2005;0,01744
40;2006;0,01883
40;2007;0,02007
40;2008;0,01997
40;2009;0,02147
40;2010;0,02230
40;2011;0,02217
40;2012;0,02211
40;2013;0,02199
40;2014;0,02357
41;2000;0,01042
41;2001;0,00987
41;2002;0,01010
41;2003;0,01043
41;2004;0,01008
41;2005;0,01223
41;2006;0,01100
41;2007;0,01348
41;2008;0,01408
41;2009;0,01346
41;2010;0,01457
41;2011;0,01436
41;2012;0,01422
41;2013;0,01418
41;2014;0,01526
42;2000;0,00605
42;2001;0,00533
42;2002;0,00703
42;2003;0,00637
42;2004;0,00673
42;2005;0,00700
42;2006;0,00788
42;2007;0,00744
42;2008;0,00753
42;2009;0,00803
42;2010;0,00899
42;2011;0,00932
42;2012;0,00850
42;2013;0,00892
42;2014;0,00960
43;2000;0,00283
43;2001;0,00320
43;2002;0,00382
43;2003;0,00348
43;2004;0,00376
43;2005;0,00410
43;2006;0,00365
43;2007;0,00435
43;2008;0,00466
43;2009;0,00473
43;2010;0,00482
43;2011;0,00532
43;2012;0,00515
43;2013;0,00550
43;2014;0,00496
44;2000;0,00160
44;2001;0,00153
44;2002;0,00195
44;2003;0,00149
44;2004;0,00166
44;2005;0,00165
44;2006;0,00249
44;2007;0,00241
44;2008;0,00227
44;2009;0,00269
44;2010;0,00278
44;2011;0,00313
44;2012;0,00290
44;2013;0,00305
44;2014;0,00287
45;2000;0,00055
45;2001;0,00083
45;2002;0,00083
45;2003;0,00067
45;2004;0,00083
45;2005;0,00108
45;2006;0,00092
45;2007;0,00123
45;2008;0,00114
45;2009;0,00125
45;2010;0,00172
45;2011;0,00117
45;2012;0,00129
45;2013;0,00129
45;2014;0,00159
46;2000;0,00033
46;2001;0,00049
46;2002;0,00016
46;2003;0,00051
46;2004;0,00038
46;2005;0,00038
46;2006;0,00054
46;2007;0,00048
46;2008;0,00066
46;2009;0,00071
46;2010;0,00071
46;2011;0,00090
46;2012;0,00071
46;2013;0,00051
46;2014;0,00091
47;2000;0,00010
47;2001;0,00013
47;2002;0,00010
47;2003;0,00013
47;2004;0,00035
47;2005;0,00029
47;2006;0,00032
47;2007;0,00019
47;2008;0,00019
47;2009;0,00019
47;2010;0,00031
47;2011;0,00033
47;2012;0,00052
47;2013;0,00011
47;2014;0,00036
48;2000;0,00003
48;2001;0,00007
48;2002;0,00010
48;2003;0,00013
48;2004;0,00006
48;2005;0,00006
48;2006;0,00003
48;2007;0,00006
48;2008;0,00010
48;2009;0,00016
48;2010;0,00006
48;2011;0,00018
48;2012;0,00038
48;2013;0,00012
48;2014;0,00045
49;2000;0,00000
49;2001;0,00003
49;2002;0,00000
49;2003;0,00016
